Contrast name:,Group (SameMan)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.268061,0.129423,2.071210,5.000000,0.046548,0.193191
2,1804,180,1.000000,0.042947,0.037747,1.137758,5.000000,0.153393,0.304649
3,785,78,1.000000,0.014605,0.063360,0.230503,5.000000,0.413418,0.656908
4,650,65,1.000000,0.115045,0.067585,1.702220,5.000000,0.074724,0.194141
5,1167,116,1.000000,0.011161,0.067904,0.164371,5.000000,0.437939,0.656908
6,327,32,1.000000,0.398948,0.171599,2.324886,5.000000,0.033820,0.193191
7,189,18,1.000000,0.582647,0.348397,1.672363,5.000000,0.077657,0.194141
8,547,54,1.000000,0.129838,0.118988,1.091187,5.000000,0.162480,0.304649
9,200,20,1.000000,-0.126309,0.130478,-0.968048,5.000000,0.811260,0.869207
10,89,8,1.000000,-0.051046,0.287804,-0.177364,5.000000,0.566908,0.708635
11,191,19,1.000000,0.314305,0.122347,2.568971,5.000000,0.025049,0.193191
12,36,3,1.000000,0.365317,0.183426,1.991629,5.000000,0.051518,0.193191
13,30,3,1.000000,-0.030963,0.183336,-0.168887,5.000000,0.563747,0.708635
14,15,1,1.000000,-0.072476,0.162207,-0.446810,5.000000,0.663150,0.765173
15,14,1,1.000000,-0.204272,0.148171,-1.378622,5.000000,0.886750,0.886750
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
