Contrast name:,Group (DiffAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.355408,0.192235,1.848820,5.000000,0.061868,0.111363
2,1399,139,1.000000,0.505871,0.172570,2.931403,5.000000,0.016290,0.091598
3,4863,486,1.000000,0.469536,0.266401,1.762516,5.000000,0.069137,0.113134
4,5104,510,1.000000,0.278206,0.165923,1.676716,5.000000,0.077222,0.115833
5,888,88,1.000000,0.104249,0.250570,0.416046,5.000000,0.347315,0.367746
6,1015,101,1.000000,0.138857,0.107790,1.288217,5.000000,0.127031,0.163325
7,3526,352,1.000000,0.401148,0.193297,2.075296,5.000000,0.046307,0.092614
8,3381,338,1.000000,0.365141,0.159520,2.288995,5.000000,0.035369,0.091598
9,1858,185,1.000000,0.082904,0.111232,0.745323,5.000000,0.244804,0.275405
10,1770,177,1.000000,0.158764,0.106617,1.489109,5.000000,0.098317,0.136131
11,2147,214,1.000000,0.363598,0.107345,3.387186,5.000000,0.009760,0.091598
12,2371,237,1.000000,0.274857,0.126255,2.177002,5.000000,0.040710,0.091598
13,2447,244,1.000000,0.358831,0.141856,2.529548,5.000000,0.026279,0.091598
14,1345,134,1.000000,0.381905,0.173791,2.197500,5.000000,0.039672,0.091598
15,2065,206,1.000000,0.619673,0.192844,3.213344,5.000000,0.011820,0.091598
16,2222,222,1.000000,0.658892,0.248802,2.648254,5.000000,0.022761,0.091598
17,1400,140,1.000000,0.019666,0.108091,0.181942,5.000000,0.431387,0.431387
18,1313,131,1.000000,0.080109,0.077548,1.033024,5.000000,0.174473,0.209368
