Contrast name:,Group (SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.196474,0.161523,1.216385,5.000000,0.139061,0.312888
2,1399,139,1.000000,0.275079,0.186055,1.478479,5.000000,0.099668,0.256288
3,4863,486,1.000000,0.219746,0.223137,0.984801,5.000000,0.184973,0.349365
4,5104,510,1.000000,0.066897,0.144832,0.461897,5.000000,0.331778,0.480951
5,888,88,1.000000,-0.103661,0.299676,-0.345911,5.000000,0.628255,0.658770
6,1015,101,1.000000,-0.057937,0.133532,-0.433878,5.000000,0.658770,0.658770
7,3526,352,1.000000,0.325321,0.139857,2.326100,5.000000,0.033769,0.189359
8,3381,338,1.000000,0.285747,0.155869,1.833247,5.000000,0.063120,0.189359
9,1858,185,1.000000,0.007846,0.109551,0.071617,5.000000,0.472842,0.531947
10,1770,177,1.000000,0.037159,0.109504,0.339335,5.000000,0.374073,0.480951
11,2147,214,1.000000,0.325888,0.110645,2.945356,5.000000,0.016029,0.170054
12,2371,237,1.000000,0.219768,0.119810,1.834301,5.000000,0.063034,0.189359
13,2447,244,1.000000,0.161997,0.171477,0.944713,5.000000,0.194092,0.349365
14,1345,134,1.000000,0.204091,0.248004,0.822934,5.000000,0.224001,0.366546
15,2065,206,1.000000,0.391444,0.139574,2.804559,5.000000,0.018895,0.170054
16,2222,222,1.000000,0.463196,0.233114,1.986999,5.000000,0.051823,0.189359
17,1400,140,1.000000,0.018297,0.149124,0.122695,5.000000,0.453564,0.531947
18,1313,131,1.000000,0.043874,0.121877,0.359985,5.000000,0.366782,0.480951
