trial_type,measured_onset,perfect_onset,trialnum
fix,124262.377187,124271.877187, 
realTrial,124278.451120,124278.377187, 1
realTrial,124284.878990,124284.877187, 2
realTrial,124291.378625,124291.377187, 3
realTrial,124297.879856,124297.877187, 4
realTrial,124304.378452,124304.377187, 5
realTrial,124310.878468,124310.877187, 6
realTrial,124317.378600,124317.377187, 7
realTrial,124323.878391,124323.877187, 8
realTrial,124330.378507,124330.377187, 9
realTrial,124336.878815,124336.877187, 10
realTrial,124343.378576,124343.377187, 11
realTrial,124349.878624,124349.877187, 12
realTrial,124356.378386,124356.377187, 13
realTrial,124362.879017,124362.877187, 14
realTrial,124369.378880,124369.377187, 15
realTrial,124375.878470,124375.877187, 16
realTrial,124382.378797,124382.377187, 17
realTrial,124388.878720,124388.877187, 18
realTrial,124395.378807,124395.377187, 19
realTrial,124401.878336,124401.877187, 20
realTrial,124408.378552,124408.377187, 21
realTrial,124414.878405,124414.877187, 22
realTrial,124421.378491,124421.377187, 23
realTrial,124427.878568,124427.877187, 24
fix,124434.377513,124434.377187, 
realTrial,124450.441493,124450.377187, 25
realTrial,124456.878638,124456.877187, 26
realTrial,124463.378434,124463.377187, 27
realTrial,124469.878810,124469.877187, 28
realTrial,124476.378412,124476.377187, 29
realTrial,124482.878430,124482.877187, 30
realTrial,124489.378690,124489.377187, 31
realTrial,124495.878783,124495.877187, 32
realTrial,124502.378737,124502.377187, 33
realTrial,124508.878544,124508.877187, 34
realTrial,124515.378471,124515.377187, 35
realTrial,124521.878404,124521.877187, 36
realTrial,124528.378841,124528.377187, 37
realTrial,124534.878419,124534.877187, 38
realTrial,124541.378877,124541.377187, 39
realTrial,124547.878717,124547.877187, 40
realTrial,124554.378440,124554.377187, 41
realTrial,124560.878754,124560.877187, 42
realTrial,124567.378895,124567.377187, 43
realTrial,124573.878447,124573.877187, 44
realTrial,124580.378518,124580.377187, 45
realTrial,124586.878578,124586.877187, 46
realTrial,124593.378634,124593.377187, 47
realTrial,124599.878676,124599.877187, 48
fix,124606.377338,124606.377187, 
