file,manner,path,agent,itemset,blocktype,blocknum, trialnum
vibrate_past_5.mp4,vibrate,past,5,X,P,1, 1
stopstart_past_4.mp4,stopstart,past,4,X,P,1, 2
halfrotate_past_6.mp4,halfrotate,past,6,X,P,1, 3
bounce_past_7.mp4,bounce,past,7,X,P,1, 4
rotate_to_1.mp4,rotate,to,1,W,A,2, 5
rock_tofar_1.mp4,rock,tofar,1,W,A,2, 6
sine_circle_1.mp4,sine,circle,1,W,A,2, 7
wheelie_onto_1.mp4,wheelie,onto,1,W,A,2, 8
stopstart_under_7.mp4,stopstart,under,7,X,D,3, 9
vibrate_behind_4.mp4,vibrate,behind,4,X,D,3, 10
halfrotate_past_5.mp4,halfrotate,past,5,X,D,3, 11
bounce_underfar_6.mp4,bounce,underfar,6,X,D,3, 12
none_control3_1.mp4,none,control3,1,Y,C,4, 13
none_control4_8.mp4,none,control4,8,Y,C,4, 14
none_control1_2.mp4,none,control1,2,Y,C,4, 15
none_control2_3.mp4,none,control2,3,Y,C,4, 16
halfrotate_behind_5.mp4,halfrotate,behind,5,X,S,5, 17
halfrotate_behind_5.mp4,halfrotate,behind,5,X,S,5, 18
halfrotate_behind_5.mp4,halfrotate,behind,5,X,S,5, 19
halfrotate_behind_5.mp4,halfrotate,behind,5,X,S,5, 20
rock_to_8.mp4,rock,to,8,W,M,6, 21
rock_circle_1.mp4,rock,circle,1,W,M,6, 22
rock_onto_2.mp4,rock,onto,2,W,M,6, 23
rock_tofar_3.mp4,rock,tofar,3,W,M,6, 24
vibrate_past_4.mp4,vibrate,past,4,X,M,7, 25
vibrate_under_5.mp4,vibrate,under,5,X,M,7, 26
vibrate_behind_6.mp4,vibrate,behind,6,X,M,7, 27
vibrate_underfar_7.mp4,vibrate,underfar,7,X,M,7, 28
wheelie_circle_2.mp4,wheelie,circle,2,W,S,8, 29
wheelie_circle_2.mp4,wheelie,circle,2,W,S,8, 30
wheelie_circle_2.mp4,wheelie,circle,2,W,S,8, 31
wheelie_circle_2.mp4,wheelie,circle,2,W,S,8, 32
none_control7_4.mp4,none,control7,4,Z,C,9, 33
none_control8_5.mp4,none,control8,5,Z,C,9, 34
none_control5_6.mp4,none,control5,6,Z,C,9, 35
none_control6_7.mp4,none,control6,7,Z,C,9, 36
wheelie_to_3.mp4,wheelie,to,3,W,D,10, 37
rotate_tofar_1.mp4,rotate,tofar,1,W,D,10, 38
rock_circle_2.mp4,rock,circle,2,W,D,10, 39
sine_onto_8.mp4,sine,onto,8,W,D,10, 40
bounce_past_6.mp4,bounce,past,6,X,A,11, 41
stopstart_under_6.mp4,stopstart,under,6,X,A,11, 42
halfrotate_behind_6.mp4,halfrotate,behind,6,X,A,11, 43
vibrate_underfar_6.mp4,vibrate,underfar,6,X,A,11, 44
rotate_onto_1.mp4,rotate,onto,1,W,P,12, 45
sine_onto_2.mp4,sine,onto,2,W,P,12, 46
wheelie_onto_3.mp4,wheelie,onto,3,W,P,12, 47
rock_onto_8.mp4,rock,onto,8,W,P,12, 48
