trial_type,measured_onset,perfect_onset,trialnum
fix,67962.485595,67971.985595, 
realTrial,67978.564316,67978.485595, 1
realTrial,67984.988353,67984.985595, 2
realTrial,67991.487185,67991.485595, 3
realTrial,67997.987174,67997.985595, 4
realTrial,68004.487488,68004.485595, 5
realTrial,68010.987034,68010.985595, 6
realTrial,68017.487178,68017.485595, 7
realTrial,68023.986887,68023.985595, 8
realTrial,68030.486977,68030.485595, 9
realTrial,68036.987263,68036.985595, 10
realTrial,68043.487038,68043.485595, 11
realTrial,68049.987274,68049.985595, 12
realTrial,68056.487085,68056.485595, 13
realTrial,68062.987274,68062.985595, 14
realTrial,68069.487134,68069.485595, 15
realTrial,68075.987023,68075.985595, 16
realTrial,68082.487390,68082.485595, 17
realTrial,68088.987067,68088.985595, 18
realTrial,68095.486874,68095.485595, 19
realTrial,68101.987073,68101.985595, 20
realTrial,68108.487327,68108.485595, 21
realTrial,68114.987281,68114.985595, 22
realTrial,68121.486946,68121.485595, 23
realTrial,68127.987067,68127.985595, 24
fix,68134.485918,68134.485595, 
realTrial,68150.563694,68150.485595, 25
realTrial,68156.988156,68156.985595, 26
realTrial,68163.487262,68163.485595, 27
realTrial,68169.987247,68169.985595, 28
realTrial,68176.487041,68176.485595, 29
realTrial,68182.987267,68182.985595, 30
realTrial,68189.486864,68189.485595, 31
realTrial,68195.986927,68195.985595, 32
realTrial,68202.487158,68202.485595, 33
realTrial,68208.987029,68208.985595, 34
realTrial,68215.487031,68215.485595, 35
realTrial,68221.987167,68221.985595, 36
realTrial,68228.486881,68228.485595, 37
realTrial,68234.987262,68234.985595, 38
realTrial,68241.487011,68241.485595, 39
realTrial,68247.987240,68247.985595, 40
realTrial,68254.487005,68254.485595, 41
realTrial,68260.986911,68260.985595, 42
realTrial,68267.486839,68267.485595, 43
realTrial,68273.987363,68273.985595, 44
realTrial,68280.487199,68280.485595, 45
realTrial,68286.987091,68286.985595, 46
realTrial,68293.486892,68293.485595, 47
realTrial,68299.987269,68299.985595, 48
fix,68306.486067,68306.485595, 
