file,manner,path,agent,itemset,blocktype,blocknum, trialnum
rotate_to_8.mp4,rotate,to,8,W,D,1, 1
rock_tofar_1.mp4,rock,tofar,1,W,D,1, 2
sine_circle_3.mp4,sine,circle,3,W,D,1, 3
wheelie_onto_2.mp4,wheelie,onto,2,W,D,1, 4
none_control5_6.mp4,none,control5,6,Z,C,2, 5
none_control8_5.mp4,none,control8,5,Z,C,2, 6
none_control6_4.mp4,none,control6,4,Z,C,2, 7
none_control7_7.mp4,none,control7,7,Z,C,2, 8
wheelie_onto_8.mp4,wheelie,onto,8,W,S,3, 9
wheelie_onto_8.mp4,wheelie,onto,8,W,S,3, 10
wheelie_onto_8.mp4,wheelie,onto,8,W,S,3, 11
wheelie_onto_8.mp4,wheelie,onto,8,W,S,3, 12
vibrate_past_5.mp4,vibrate,past,5,X,M,4, 13
vibrate_under_4.mp4,vibrate,under,4,X,M,4, 14
vibrate_behind_6.mp4,vibrate,behind,6,X,M,4, 15
vibrate_underfar_7.mp4,vibrate,underfar,7,X,M,4, 16
sine_to_3.mp4,sine,to,3,W,P,5, 17
rotate_to_1.mp4,rotate,to,1,W,P,5, 18
rock_to_2.mp4,rock,to,2,W,P,5, 19
wheelie_to_8.mp4,wheelie,to,8,W,P,5, 20
stopstart_underfar_6.mp4,stopstart,underfar,6,X,A,6, 21
bounce_past_6.mp4,bounce,past,6,X,A,6, 22
vibrate_under_6.mp4,vibrate,under,6,X,A,6, 23
halfrotate_behind_6.mp4,halfrotate,behind,6,X,A,6, 24
rock_onto_2.mp4,rock,onto,2,W,A,7, 25
sine_circle_2.mp4,sine,circle,2,W,A,7, 26
wheelie_to_2.mp4,wheelie,to,2,W,A,7, 27
rotate_tofar_2.mp4,rotate,tofar,2,W,A,7, 28
halfrotate_under_7.mp4,halfrotate,under,7,X,P,8, 29
vibrate_under_5.mp4,vibrate,under,5,X,P,8, 30
stopstart_under_4.mp4,stopstart,under,4,X,P,8, 31
bounce_under_6.mp4,bounce,under,6,X,P,8, 32
rock_onto_8.mp4,rock,onto,8,W,M,9, 33
rock_to_1.mp4,rock,to,1,W,M,9, 34
rock_tofar_2.mp4,rock,tofar,2,W,M,9, 35
rock_circle_3.mp4,rock,circle,3,W,M,9, 36
stopstart_behind_4.mp4,stopstart,behind,4,X,S,10, 37
stopstart_behind_4.mp4,stopstart,behind,4,X,S,10, 38
stopstart_behind_4.mp4,stopstart,behind,4,X,S,10, 39
stopstart_behind_4.mp4,stopstart,behind,4,X,S,10, 40
none_control1_3.mp4,none,control1,3,Y,C,11, 41
none_control2_1.mp4,none,control2,1,Y,C,11, 42
none_control3_2.mp4,none,control3,2,Y,C,11, 43
none_control4_8.mp4,none,control4,8,Y,C,11, 44
stopstart_past_5.mp4,stopstart,past,5,X,D,12, 45
vibrate_behind_7.mp4,vibrate,behind,7,X,D,12, 46
halfrotate_under_4.mp4,halfrotate,under,4,X,D,12, 47
bounce_underfar_6.mp4,bounce,underfar,6,X,D,12, 48
