trial_type,measured_onset,perfect_onset,trialnum
fix,173137.528600,173147.028600, 
realTrial,173153.625927,173153.528600, 1
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
fix,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
