trial_type,measured_onset,perfect_onset, 116
rialnum,fix,75627.210204,75637.210204, 
movie,75643.424908,75643.210204, 1
movie,75649.441700,75649.210204, 2
movie,75655.354816,75655.210204, 3
movie,75661.453841,75661.210204, 4
movie,75667.367829,75667.210204, 5
movie,75673.377371,75673.210204, 6
movie,75679.443153,75679.210204, 7
movie,75685.431648,75685.210204, 8
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
fix,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
trial,,, 
