color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
orange,146_G_VS_Mother_3.ogg,146,G,VS,Mother,3,audio,3,E,5
none,131_G_TK_Princess_2.ogg,131,G,TK,Princess,2,audio,3,E,5
yellow,06_G_CG_Frog_2.ogg,6,G,CG,Frog,2,audio,3,E,5
none,114_G_TK_Bee_1_NA.ogv,114,G,TK,Bee,1,NA,3,A,5
purple,69_G_MY_Hood_3_NA.ogv,69,G,MY,Hood,3,NA,3,A,5
orange,149_G_VS_Princess_2_NA.ogv,149,G,VS,Princess,2,NA,3,A,5
green,45_G_JH_Frog_4_NF.ogv,45,G,JH,Frog,4,NF,3,B,5
purple,70_G_MY_Hood_4_NF.ogv,70,G,MY,Hood,4,NF,3,B,5
blue,20_G_DS_Bee_1_NF.ogv,20,G,DS,Bee,1,NF,3,B,5
none,122_NG_TK_XX_9_NA.ogv,122,NG,TK,XX,9,NA,3,C,5
grey,102_NG_SV_XX_8_NA.ogv,102,NG,SV,XX,8,NA,3,C,5
blue,22_NG_DS_XX_3_NA.ogv,22,NG,DS,XX,3,NA,3,C,5
green,48_NG_JH_XX_11_NF.ogv,48,NG,JH,XX,11,NF,3,D,5
blue,33_NG_DS_XX_14_NF.ogv,33,NG,DS,XX,14,NF,3,D,5
none,128_NG_TK_XX_15_NF.ogv,128,NG,TK,XX,15,NF,3,D,5
grey,98_NG_SV_XX_4_NF.ogv,98,NG,SV,XX,4,NF,3,D,5
red,88_NG_ST_XX_13_NF.ogv,88,NG,ST,XX,13,NF,3,D,5
orange,148_NG_VS_XX_17_NF.ogv,148,NG,VS,XX,17,NF,3,D,5
yellow,12_NG_CG_XX_12_NA.ogv,12,NG,CG,XX,12,NA,3,C,5
purple,72_NG_MY_XX_16_NA.ogv,72,NG,MY,XX,16,NA,3,C,5
red,92_NG_ST_XX_17_NA.ogv,92,NG,ST,XX,17,NA,3,C,5
orange,140_G_VS_Hood_1_NF.ogv,140,G,VS,Hood,1,NF,3,B,5
red,90_G_ST_Mother_3_NF.ogv,90,G,ST,Mother,3,NF,3,B,5
none,130_G_TK_Princess_1_NF.ogv,130,G,TK,Princess,1,NF,3,B,5
blue,24_G_DS_Frog_1_NA.ogv,24,G,DS,Frog,1,NA,3,A,5
red,94_G_ST_Princess_3_NA.ogv,94,G,ST,Princess,3,NA,3,A,5
yellow,04_G_CG_Bee_4_NA.ogv,4,G,CG,Bee,4,NA,3,A,5
blue,26_G_DS_Frog_3.ogg,26,G,DS,Frog,3,audio,3,E,5
purple,61_G_MY_Bee_5.ogg,61,G,MY,Bee,5,audio,3,E,5
grey,106_G_SV_Hood_4.ogg,106,G,SV,Hood,4,audio,3,E,5
