color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,10_G_CG_Hood_2.ogg,10,G,CG,Hood,2,audio,4,E,5
purple,75_G_MY_Mother_5.ogg,75,G,MY,Mother,5,audio,4,E,5
orange,135_G_VS_Bee_4.ogg,135,G,VS,Bee,4,audio,4,E,5
orange,138_G_VS_Frog_3_NA.ogv,138,G,VS,Frog,3,NA,4,A,5
purple,73_G_MY_Mother_3_NA.ogv,73,G,MY,Mother,3,NA,4,A,5
blue,28_G_DS_Hood_1_NA.ogv,28,G,DS,Hood,1,NA,4,A,5
grey,99_G_SV_Frog_1_NF.ogv,99,G,SV,Frog,1,NF,4,B,5
none,129_G_TK_Mother_4_NF.ogv,129,G,TK,Mother,4,NF,4,B,5
green,49_G_JH_Hood_4_NF.ogv,49,G,JH,Hood,4,NF,4,B,5
blue,26_NG_DS_XX_7_NA.ogv,26,NG,DS,XX,7,NA,4,C,5
orange,146_NG_VS_XX_15_NA.ogv,146,NG,VS,XX,15,NA,4,C,5
grey,106_NG_SV_XX_12_NA.ogv,106,NG,SV,XX,12,NA,4,C,5
purple,57_NG_MY_XX_1_NF.ogv,57,NG,MY,XX,1,NF,4,D,5
red,77_NG_ST_XX_2_NF.ogv,77,NG,ST,XX,2,NF,4,D,5
orange,137_NG_VS_XX_6_NF.ogv,137,NG,VS,XX,6,NF,4,D,5
none,122_NG_TK_XX_9_NF.ogv,122,NG,TK,XX,9,NF,4,D,5
grey,102_NG_SV_XX_8_NF.ogv,102,NG,SV,XX,8,NF,4,D,5
green,47_NG_JH_XX_10_NF.ogv,47,NG,JH,XX,10,NF,4,D,5
none,116_NG_TK_XX_3_NA.ogv,116,NG,TK,XX,3,NA,4,C,5
red,91_NG_ST_XX_16_NA.ogv,91,NG,ST,XX,16,NA,4,C,5
purple,71_NG_MY_XX_15_NA.ogv,71,NG,MY,XX,15,NA,4,C,5
yellow,09_G_CG_Hood_1_NF.ogv,9,G,CG,Hood,1,NF,4,B,5
red,94_G_ST_Princess_3_NF.ogv,94,G,ST,Princess,3,NF,4,B,5
orange,134_G_VS_Bee_3_NF.ogv,134,G,VS,Bee,3,NF,4,B,5
green,43_G_JH_Frog_2_NA.ogv,43,G,JH,Frog,2,NA,4,A,5
red,88_G_ST_Mother_1_NA.ogv,88,G,ST,Mother,1,NA,4,A,5
yellow,03_G_CG_Bee_3_NA.ogv,3,G,CG,Bee,3,NA,4,A,5
red,90_G_ST_Mother_3.ogg,90,G,ST,Mother,3,audio,4,E,5
grey,105_G_SV_Hood_3.ogg,105,G,SV,Hood,3,audio,4,E,5
blue,35_G_DS_Princess_1.ogg,35,G,DS,Princess,1,audio,4,E,5
