trial_type,onset
fix,178945.154815,178954.154815
movie,178961.272008,178961.154815
movie,178968.156788,178968.154815
movie,178975.157174,178975.154815
movie,178982.156628,178982.154815
movie,178989.156904,178989.154815
movie,178996.335278,178996.154815
audio,179003.155224,179003.154815
audio,179010.155076,179010.154815
audio,179017.155278,179017.154815
movie,179024.156797,179024.154815
movie,179031.157218,179031.154815
movie,179038.157309,179038.154815
movie,179045.156790,179045.154815
movie,179052.156851,179052.154815
movie,179059.157183,179059.154815
fix,179066.155318,179066.154815
movie,179082.273160,179082.154815
movie,179089.157171,179089.154815
movie,179096.157694,179096.154815
movie,179103.157568,179103.154815
movie,179110.157095,179110.154815
movie,179117.157194,179117.154815
audio,179124.155359,179124.154815
audio,179131.154972,179131.154815
audio,179138.155385,179138.154815
movie,179145.158272,179145.154815
movie,179152.156959,179152.154815
movie,179159.156892,179159.154815
movie,179166.157595,179166.154815
movie,179173.157277,179173.154815
movie,179180.156863,179180.154815
fix,179187.155282,179187.154815
