trial_type,onset
fix,10022.635991,10031.635991
movie,10038.691785,10038.635991
movie,10045.638369,10045.635991
movie,10052.638163,10052.635991
movie,10059.638108,10059.635991
movie,10066.638004,10066.635991
movie,10073.637814,10073.635991
movie,10080.638527,10080.635991
movie,10087.638128,10087.635991
movie,10094.638536,10094.635991
audio,10101.636963,10101.635991
audio,10108.636313,10108.635991
audio,10115.636468,10115.635991
movie,10122.637763,10122.635991
movie,10129.638271,10129.635991
movie,10136.637675,10136.635991
fix,10143.636538,10143.635991
movie,10159.689771,10159.635991
movie,10166.637997,10166.635991
movie,10173.638147,10173.635991
audio,10180.636577,10180.635991
audio,10187.636582,10187.635991
audio,10194.636414,10194.635991
movie,10201.638225,10201.635991
movie,10208.638462,10208.635991
movie,10215.638522,10215.635991
movie,10222.638026,10222.635991
movie,10229.638652,10229.635991
movie,10236.638190,10236.635991
movie,10243.638518,10243.635991
movie,10250.637861,10250.635991
movie,10257.638809,10257.635991
fix,10264.636646,10264.635991
