color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
none,129_G_TK_Mother_4_NA.ogv,129,G,TK,Mother,4,NA,3,A,3
purple,69_G_MY_Hood_3_NA.ogv,69,G,MY,Hood,3,NA,3,A,3
green,39_G_JH_Bee_2_NA.ogv,39,G,JH,Bee,2,NA,3,A,3
none,120_G_TK_Frog_3_NF.ogv,120,G,TK,Frog,3,NF,3,B,3
purple,70_G_MY_Hood_4_NF.ogv,70,G,MY,Hood,4,NF,3,B,3
green,50_G_JH_Mother_1_NF.ogv,50,G,JH,Mother,1,NF,3,B,3
red,87_NG_ST_XX_12_NA.ogv,87,NG,ST,XX,12,NA,3,C,3
grey,97_NG_SV_XX_3_NA.ogv,97,NG,SV,XX,3,NA,3,C,3
blue,22_NG_DS_XX_3_NA.ogv,22,NG,DS,XX,3,NA,3,C,3
orange,138_NG_VS_XX_7_NF.ogv,138,NG,VS,XX,7,NF,3,D,3
none,123_NG_TK_XX_10_NF.ogv,123,NG,TK,XX,10,NF,3,D,3
grey,98_NG_SV_XX_4_NF.ogv,98,NG,SV,XX,4,NF,3,D,3
red,76_G_ST_Bee_1.ogg,76,G,ST,Bee,1,audio,3,E,3
none,121_G_TK_Frog_4.ogg,121,G,TK,Frog,4,audio,3,E,3
grey,106_G_SV_Hood_4.ogg,106,G,SV,Hood,4,audio,3,E,3
green,41_G_JH_Bee_4.ogg,41,G,JH,Bee,4,audio,3,E,3
yellow,16_G_CG_Mother_4.ogg,16,G,CG,Mother,4,audio,3,E,3
blue,26_G_DS_Frog_3.ogg,26,G,DS,Frog,3,audio,3,E,3
yellow,08_NG_CG_XX_8_NF.ogv,8,NG,CG,XX,8,NF,3,D,3
purple,68_NG_MY_XX_12_NF.ogv,68,NG,MY,XX,12,NF,3,D,3
green,43_NG_JH_XX_6_NF.ogv,43,NG,JH,XX,6,NF,3,D,3
purple,67_NG_MY_XX_11_NA.ogv,67,NG,MY,XX,11,NA,3,C,3
orange,147_NG_VS_XX_16_NA.ogv,147,NG,VS,XX,16,NA,3,C,3
none,117_NG_TK_XX_4_NA.ogv,117,NG,TK,XX,4,NA,3,C,3
blue,35_G_DS_Princess_1_NF.ogv,35,G,DS,Princess,1,NF,3,B,3
yellow,10_G_CG_Hood_2_NF.ogv,10,G,CG,Hood,2,NF,3,B,3
grey,95_G_SV_Bee_1_NF.ogv,95,G,SV,Bee,1,NF,3,B,3
red,94_G_ST_Princess_3_NA.ogv,94,G,ST,Princess,3,NA,3,A,3
orange,139_G_VS_Frog_4_NA.ogv,139,G,VS,Frog,4,NA,3,A,3
grey,109_G_SV_Mother_3_NA.ogv,109,G,SV,Mother,3,NA,3,A,3
