trial_type,onset
fix,323683.115076,323692.115076
movie,323700.791355,323699.115076
movie,323706.305384,323706.115076
movie,323713.117656,323713.115076
movie,323720.117504,323720.115076
movie,323727.117506,323727.115076
movie,323734.117336,323734.115076
movie,323741.117446,323741.115076
movie,323748.117627,323748.115076
movie,323755.117402,323755.115076
movie,323762.117526,323762.115076
movie,323769.117039,323769.115076
movie,323776.117839,323776.115076
audio,323783.116068,323783.115076
audio,323790.115626,323790.115076
audio,323797.115283,323797.115076
fix,323804.115810,323804.115076
audio,323820.146520,323820.115076
audio,323827.115543,323827.115076
audio,323834.115260,323834.115076
movie,323841.117382,323841.115076
movie,323848.412943,323848.115076
movie,323855.117929,323855.115076
movie,323862.116911,323862.115076
movie,323869.117524,323869.115076
movie,323876.117696,323876.115076
movie,323883.116931,323883.115076
movie,323890.117216,323890.115076
movie,323897.118127,323897.115076
movie,323904.117227,323904.115076
movie,323911.117408,323911.115076
movie,323918.117211,323918.115076
fix,323925.115655,323925.115076
