trial_type,onset
fix,334507.727324,334516.727324
audio,334523.769926,334523.727324
audio,334530.727834,334530.727324
audio,334537.727395,334537.727324
movie,334544.729608,334544.727324
movie,334551.728956,334551.727324
movie,334558.729482,334558.727324
movie,334565.729883,334565.727324
movie,334572.729462,334572.727324
movie,334579.729577,334579.727324
movie,334586.729695,334586.727324
movie,334593.730392,334593.727324
movie,334600.729869,334600.727324
movie,334607.729591,334607.727324
movie,334614.729371,334614.727324
movie,334621.729762,334621.727324
fix,334628.727978,334628.727324
movie,334644.916326,334644.727324
movie,334651.729880,334651.727324
movie,334658.729845,334658.727324
movie,334665.729671,334665.727324
movie,334672.729942,334672.727324
movie,334679.729655,334679.727324
movie,334686.729694,334686.727324
movie,334693.729924,334693.727324
movie,334700.730168,334700.727324
movie,334707.729412,334707.727324
movie,334714.729933,334714.727324
movie,334721.730109,334721.727324
audio,334728.727341,334728.727324
audio,334735.727442,334735.727324
audio,334742.727715,334742.727324
fix,334749.727704,334749.727324
