trial_type,onset
fix,85707.527102,85716.527102
movie,85723.630243,85723.527102
movie,85730.529317,85730.527102
movie,85737.529031,85737.527102
movie,85744.529477,85744.527102
movie,85751.529309,85751.527102
movie,85758.529849,85758.527102
movie,85765.528769,85765.527102
movie,85772.529729,85772.527102
movie,85779.529836,85779.527102
audio,85786.527340,85786.527102
audio,85793.527746,85793.527102
audio,85800.527522,85800.527102
movie,85807.529242,85807.527102
movie,85814.529036,85814.527102
movie,85821.529348,85821.527102
fix,85828.527620,85828.527102
movie,85844.639472,85844.527102
movie,85851.529308,85851.527102
movie,85858.529772,85858.527102
audio,85865.613956,85865.527102
audio,85872.527180,85872.527102
audio,85879.527702,85879.527102
movie,85886.528974,85886.527102
movie,85893.529919,85893.527102
movie,85900.529253,85900.527102
movie,85907.529289,85907.527102
movie,85914.529332,85914.527102
movie,85921.529582,85921.527102
movie,85928.529359,85928.527102
movie,85935.529333,85935.527102
movie,85942.529109,85942.527102
fix,85949.527707,85949.527102
