color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
none,115_NG_TK_XX_2_NF.ogv,115,NG,TK,XX,2,NF,1,D,4
green,45_NG_JH_XX_8_NF.ogv,45,NG,JH,XX,8,NF,1,D,4
purple,60_NG_MY_XX_4_NF.ogv,60,NG,MY,XX,4,NF,1,D,4
green,48_G_JH_Hood_3.ogg,48,G,JH,Hood,3,audio,1,E,4
purple,63_G_MY_Frog_2.ogg,63,G,MY,Frog,2,audio,1,E,4
blue,23_G_DS_Bee_4.ogg,23,G,DS,Bee,4,audio,1,E,4
orange,141_G_VS_Hood_2_NA.ogv,141,G,VS,Hood,2,NA,1,A,4
purple,71_G_MY_Mother_1_NA.ogv,71,G,MY,Mother,1,NA,1,A,4
yellow,01_G_CG_Bee_1_NA.ogv,1,G,CG,Bee,1,NA,1,A,4
purple,72_G_MY_Mother_2_NF.ogv,72,G,MY,Mother,2,NF,1,B,4
red,87_G_ST_Hood_4_NF.ogv,87,G,ST,Hood,4,NF,1,B,4
yellow,17_G_CG_Princess_1_NF.ogv,17,G,CG,Princess,1,NF,1,B,4
none,124_NG_TK_XX_11_NA.ogv,124,NG,TK,XX,11,NA,1,C,4
purple,69_NG_MY_XX_13_NA.ogv,69,NG,MY,XX,13,NA,1,C,4
blue,24_NG_DS_XX_5_NA.ogv,24,NG,DS,XX,5,NA,1,C,4
orange,139_NG_VS_XX_8_NA.ogv,139,NG,VS,XX,8,NA,1,C,4
yellow,04_NG_CG_XX_4_NA.ogv,4,NG,CG,XX,4,NA,1,C,4
green,44_NG_JH_XX_7_NA.ogv,44,NG,JH,XX,7,NA,1,C,4
orange,132_G_VS_Bee_1_NF.ogv,132,G,VS,Bee,1,NF,1,B,4
blue,32_G_DS_Mother_1_NF.ogv,32,G,DS,Mother,1,NF,1,B,4
none,122_G_TK_Hood_1_NF.ogv,122,G,TK,Hood,1,NF,1,B,4
grey,101_G_SV_Frog_3_NA.ogv,101,G,SV,Frog,3,NA,1,A,4
none,116_G_TK_Bee_3_NA.ogv,116,G,TK,Bee,3,NA,1,A,4
blue,31_G_DS_Hood_4_NA.ogv,31,G,DS,Hood,4,NA,1,A,4
red,78_G_ST_Bee_3.ogg,78,G,ST,Bee,3,audio,1,E,4
grey,108_G_SV_Mother_2.ogg,108,G,SV,Mother,2,audio,1,E,4
yellow,08_G_CG_Frog_4.ogg,8,G,CG,Frog,4,audio,1,E,4
red,90_NG_ST_XX_15_NF.ogv,90,NG,ST,XX,15,NF,1,D,4
grey,100_NG_SV_XX_6_NF.ogv,100,NG,SV,XX,6,NF,1,D,4
blue,20_NG_DS_XX_1_NF.ogv,20,NG,DS,XX,1,NF,1,D,4
