color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
orange,145_G_VS_Mother_2_NA.ogv,145,G,VS,Mother,2,NA,2,A,1
yellow,10_G_CG_Hood_2_NA.ogv,10,G,CG,Hood,2,NA,2,A,1
red,80_G_ST_Frog_1_NA.ogv,80,G,ST,Frog,1,NA,2,A,1
purple,61_G_MY_Bee_5_NF.ogv,61,G,MY,Bee,5,NF,2,B,1
red,91_G_ST_Mother_4_NF.ogv,91,G,ST,Mother,4,NF,2,B,1
yellow,11_G_CG_Hood_3_NF.ogv,11,G,CG,Hood,3,NF,2,B,1
grey,108_NG_SV_XX_14_NA.ogv,108,NG,SV,XX,14,NA,2,C,1
purple,68_NG_MY_XX_12_NA.ogv,68,NG,MY,XX,12,NA,2,C,1
green,38_NG_JH_XX_1_NA.ogv,38,NG,JH,XX,1,NA,2,C,1
none,114_NG_TK_XX_1_NF.ogv,114,NG,TK,XX,1,NF,2,D,1
grey,109_NG_SV_XX_15_NF.ogv,109,NG,SV,XX,15,NF,2,D,1
orange,134_NG_VS_XX_3_NF.ogv,134,NG,VS,XX,3,NF,2,D,1
blue,32_G_DS_Mother_1.ogg,32,G,DS,Mother,1,audio,2,E,1
grey,112_G_SV_Princess_2.ogg,112,G,SV,Princess,2,audio,2,E,1
orange,137_G_VS_Frog_2.ogg,137,G,VS,Frog,2,audio,2,E,1
none,122_G_TK_Hood_1.ogg,122,G,TK,Hood,1,audio,2,E,1
green,42_G_JH_Frog_1.ogg,42,G,JH,Frog,1,audio,2,E,1
yellow,02_G_CG_Bee_2.ogg,2,G,CG,Bee,2,audio,2,E,1
green,39_NG_JH_XX_2_NF.ogv,39,NG,JH,XX,2,NF,2,D,1
red,79_NG_ST_XX_4_NF.ogv,79,NG,ST,XX,4,NF,2,D,1
purple,59_NG_MY_XX_3_NF.ogv,59,NG,MY,XX,3,NF,2,D,1
blue,23_NG_DS_XX_4_NA.ogv,23,NG,DS,XX,4,NA,2,C,1
orange,138_NG_VS_XX_7_NA.ogv,138,NG,VS,XX,7,NA,2,C,1
none,128_NG_TK_XX_15_NA.ogv,128,NG,TK,XX,15,NA,2,C,1
orange,141_G_VS_Hood_2_NF.ogv,141,G,VS,Hood,2,NF,2,B,1
grey,101_G_SV_Frog_3_NF.ogv,101,G,SV,Frog,3,NF,2,B,1
none,116_G_TK_Bee_3_NF.ogv,116,G,TK,Bee,3,NF,2,B,1
none,130_G_TK_Princess_1_NA.ogv,130,G,TK,Princess,1,NA,2,A,1
purple,70_G_MY_Hood_4_NA.ogv,70,G,MY,Hood,4,NA,2,A,1
green,40_G_JH_Bee_3_NA.ogv,40,G,JH,Bee,3,NA,2,A,1
