trial_type,onset
fix,67168.542338,67177.542338
audio,67184.575008,67184.542338
audio,67191.542417,67191.542338
audio,67198.542847,67198.542338
movie,67205.544571,67205.542338
movie,67212.544404,67212.542338
movie,67219.544583,67219.542338
movie,67226.543784,67226.542338
movie,67233.544243,67233.542338
movie,67240.544303,67240.542338
movie,67247.544797,67247.542338
movie,67254.544222,67254.542338
movie,67261.544349,67261.542338
movie,67268.543935,67268.542338
movie,67275.544422,67275.542338
movie,67282.544349,67282.542338
fix,67289.542411,67289.542338
movie,67305.638198,67305.542338
movie,67312.544842,67312.542338
movie,67319.544709,67319.542338
movie,67326.544323,67326.542338
movie,67333.545163,67333.542338
movie,67340.543701,67340.542338
movie,67347.544659,67347.542338
movie,67354.544160,67354.542338
movie,67361.544233,67361.542338
movie,67368.544377,67368.542338
movie,67375.544623,67375.542338
movie,67382.544231,67382.542338
audio,67389.542608,67389.542338
audio,67396.542757,67396.542338
audio,67403.542777,67403.542338
fix,67410.542622,67410.542338
