color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
red,94_G_ST_Princess_3.ogg,94,G,ST,Princess,3,audio,5,E,5
orange,139_G_VS_Frog_4.ogg,139,G,VS,Frog,4,audio,5,E,5
grey,104_G_SV_Hood_2.ogg,104,G,SV,Hood,2,audio,5,E,5
none,117_G_TK_Bee_4_NA.ogv,117,G,TK,Bee,4,NA,5,A,5
grey,107_G_SV_Mother_1_NA.ogv,107,G,SV,Mother,1,NA,5,A,5
green,47_G_JH_Hood_2_NA.ogv,47,G,JH,Hood,2,NA,5,A,5
yellow,03_G_CG_Bee_3_NF.ogv,3,G,CG,Bee,3,NF,5,B,5
orange,148_G_VS_Princess_1_NF.ogv,148,G,VS,Princess,1,NF,5,B,5
blue,33_G_DS_Mother_2_NF.ogv,33,G,DS,Mother,2,NF,5,B,5
purple,60_NG_MY_XX_4_NA.ogv,60,NG,MY,XX,4,NA,5,C,5
blue,35_NG_DS_XX_16_NA.ogv,35,NG,DS,XX,16,NA,5,C,5
red,80_NG_ST_XX_5_NA.ogv,80,NG,ST,XX,5,NA,5,C,5
blue,31_NG_DS_XX_12_NF.ogv,31,NG,DS,XX,12,NF,5,D,5
yellow,01_NG_CG_XX_1_NF.ogv,1,NG,CG,XX,1,NF,5,D,5
purple,61_NG_MY_XX_5_NF.ogv,61,NG,MY,XX,5,NF,5,D,5
none,116_NG_TK_XX_3_NF.ogv,116,NG,TK,XX,3,NF,5,D,5
grey,96_NG_SV_XX_2_NF.ogv,96,NG,SV,XX,2,NF,5,D,5
green,46_NG_JH_XX_9_NF.ogv,46,NG,JH,XX,9,NF,5,D,5
orange,135_NG_VS_XX_4_NA.ogv,135,NG,VS,XX,4,NA,5,C,5
green,45_NG_JH_XX_8_NA.ogv,45,NG,JH,XX,8,NA,5,C,5
yellow,15_NG_CG_XX_15_NA.ogv,15,NG,CG,XX,15,NA,5,C,5
grey,113_G_SV_Princess_3_NF.ogv,113,G,SV,Princess,3,NF,5,B,5
red,88_G_ST_Mother_1_NF.ogv,88,G,ST,Mother,1,NF,5,B,5
green,48_G_JH_Hood_3_NF.ogv,48,G,JH,Hood,3,NF,5,B,5
purple,62_G_MY_Frog_1_NA.ogv,62,G,MY,Frog,1,NA,5,A,5
blue,22_G_DS_Bee_3_NA.ogv,22,G,DS,Bee,3,NA,5,A,5
red,92_G_ST_Princess_1_NA.ogv,92,G,ST,Princess,1,NA,5,A,5
purple,74_G_MY_Mother_4.ogg,74,G,MY,Mother,4,audio,5,E,5
blue,24_G_DS_Frog_1.ogg,24,G,DS,Frog,1,audio,5,E,5
yellow,04_G_CG_Bee_4.ogg,4,G,CG,Bee,4,audio,5,E,5
