trial_type,onset
fix,328165.236043,328174.236043
movie,328181.350909,328181.236043
movie,328188.238547,328188.236043
movie,328195.237987,328195.236043
movie,328202.238527,328202.236043
movie,328209.239000,328209.236043
movie,328216.238907,328216.236043
audio,328223.236662,328223.236043
audio,328230.236135,328230.236043
audio,328237.236770,328237.236043
movie,328244.237920,328244.236043
movie,328251.238084,328251.236043
movie,328258.365049,328258.236043
movie,328265.238758,328265.236043
movie,328272.237972,328272.236043
movie,328279.238555,328279.236043
fix,328286.236390,328286.236043
movie,328302.329106,328302.236043
movie,328309.238628,328309.236043
movie,328316.238396,328316.236043
movie,328323.238217,328323.236043
movie,328330.238478,328330.236043
movie,328337.238246,328337.236043
audio,328344.236080,328344.236043
audio,328351.236240,328351.236043
audio,328358.236184,328358.236043
movie,328365.238543,328365.236043
movie,328372.238758,328372.236043
movie,328379.238688,328379.236043
movie,328386.238328,328386.236043
movie,328393.237991,328393.236043
movie,328400.238283,328400.236043
fix,328407.236550,328407.236043
