color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
red,81_G_ST_Frog_2_NA.ogv,81,G,ST,Frog,2,NA,1,A,1
yellow,16_G_CG_Mother_4_NA.ogv,16,G,CG,Mother,4,NA,1,A,1
blue,21_G_DS_Bee_2_NA.ogv,21,G,DS,Bee,2,NA,1,A,1
purple,67_G_MY_Hood_1_NF.ogv,67,G,MY,Hood,1,NF,1,B,1
red,77_G_ST_Bee_2_NF.ogv,77,G,ST,Bee,2,NF,1,B,1
grey,112_G_SV_Princess_2_NF.ogv,112,G,SV,Princess,2,NF,1,B,1
red,94_NG_ST_XX_19_NA.ogv,94,NG,ST,XX,19,NA,1,C,1
none,119_NG_TK_XX_6_NA.ogv,119,NG,TK,XX,6,NA,1,C,1
green,39_NG_JH_XX_2_NA.ogv,39,NG,JH,XX,2,NA,1,C,1
purple,65_NG_MY_XX_9_NF.ogv,65,NG,MY,XX,9,NF,1,D,1
green,55_NG_JH_XX_18_NF.ogv,55,NG,JH,XX,18,NF,1,D,1
grey,95_NG_SV_XX_1_NF.ogv,95,NG,SV,XX,1,NF,1,D,1
grey,103_G_SV_Hood_1.ogg,103,G,SV,Hood,1,audio,1,E,1
none,118_G_TK_Frog_1.ogg,118,G,TK,Frog,1,audio,1,E,1
blue,33_G_DS_Mother_2.ogg,33,G,DS,Mother,2,audio,1,E,1
green,38_G_JH_Bee_1.ogg,38,G,JH,Bee,1,audio,1,E,1
purple,73_G_MY_Mother_3.ogg,73,G,MY,Mother,3,audio,1,E,1
orange,143_G_VS_Hood_4.ogg,143,G,VS,Hood,4,audio,1,E,1
orange,140_NG_VS_XX_9_NF.ogv,140,NG,VS,XX,9,NF,1,D,1
yellow,15_NG_CG_XX_15_NF.ogv,15,NG,CG,XX,15,NF,1,D,1
none,130_NG_TK_XX_17_NF.ogv,130,NG,TK,XX,17,NF,1,D,1
blue,34_NG_DS_XX_15_NA.ogv,34,NG,DS,XX,15,NA,1,C,1
purple,59_NG_MY_XX_3_NA.ogv,59,NG,MY,XX,3,NA,1,C,1
grey,109_NG_SV_XX_15_NA.ogv,109,NG,SV,XX,15,NA,1,C,1
none,117_G_TK_Bee_4_NF.ogv,117,G,TK,Bee,4,NF,1,B,1
green,42_G_JH_Frog_1_NF.ogv,42,G,JH,Frog,1,NF,1,B,1
blue,37_G_DS_Princess_3_NF.ogv,37,G,DS,Princess,3,NF,1,B,1
none,126_G_TK_Mother_1_NA.ogv,126,G,TK,Mother,1,NA,1,A,1
purple,61_G_MY_Bee_5_NA.ogv,61,G,MY,Bee,5,NA,1,A,1
green,46_G_JH_Hood_1_NA.ogv,46,G,JH,Hood,1,NA,1,A,1
