trial_type,onset
fix,114169.102564,114178.102564
movie,114185.498535,114185.102564
movie,114192.105243,114192.102564
movie,114199.104522,114199.102564
movie,114206.104616,114206.102564
movie,114213.104373,114213.102564
movie,114220.105619,114220.102564
movie,114227.104595,114227.102564
movie,114234.105116,114234.102564
movie,114241.104921,114241.102564
audio,114248.102963,114248.102564
audio,114255.103123,114255.102564
audio,114262.103216,114262.102564
movie,114269.104435,114269.102564
movie,114276.104958,114276.102564
movie,114283.104573,114283.102564
fix,114290.103061,114290.102564
movie,114306.493105,114306.102564
movie,114313.104534,114313.102564
movie,114320.104649,114320.102564
audio,114327.102712,114327.102564
audio,114334.102679,114334.102564
audio,114341.102581,114341.102564
movie,114348.104988,114348.102564
movie,114355.105143,114355.102564
movie,114362.104621,114362.102564
movie,114369.104933,114369.102564
movie,114376.104886,114376.102564
movie,114383.105253,114383.102564
movie,114390.104952,114390.102564
movie,114397.104977,114397.102564
movie,114404.104188,114404.102564
fix,114411.102573,114411.102564
