trial_type,onset
fix,164466.417910,164475.417910
movie,164482.809041,164482.417910
movie,164489.420471,164489.417910
movie,164496.420591,164496.417910
audio,164503.418518,164503.417910
audio,164510.418039,164510.417910
audio,164517.418100,164517.417910
movie,164524.419766,164524.417910
movie,164531.420378,164531.417910
movie,164538.420397,164538.417910
movie,164545.420585,164545.417910
movie,164552.420426,164552.417910
movie,164559.420537,164559.417910
movie,164566.420205,164566.417910
movie,164573.419381,164573.417910
movie,164580.420316,164580.417910
fix,164587.418290,164587.417910
movie,164603.810676,164603.417910
movie,164610.420108,164610.417910
movie,164617.420144,164617.417910
movie,164624.419976,164624.417910
movie,164631.420020,164631.417910
movie,164638.420251,164638.417910
movie,164645.420078,164645.417910
movie,164652.419550,164652.417910
movie,164659.420334,164659.417910
audio,164666.418351,164666.417910
audio,164673.418513,164673.417910
audio,164680.417957,164680.417910
movie,164687.419994,164687.417910
movie,164694.419892,164694.417910
movie,164701.420136,164701.417910
fix,164708.418212,164708.417910
