trial_type,onset
fix,177274.295357,177283.295357
movie,177290.400656,177290.295357
movie,177297.297541,177297.295357
movie,177304.297143,177304.295357
movie,177311.298429,177311.295357
movie,177318.297686,177318.295357
movie,177325.297945,177325.295357
movie,177332.298170,177332.295357
movie,177339.297750,177339.295357
movie,177346.297773,177346.295357
movie,177353.297827,177353.295357
movie,177360.297971,177360.295357
movie,177367.297816,177367.295357
audio,177374.296165,177374.295357
audio,177381.295600,177381.295357
audio,177388.295550,177388.295357
fix,177395.295814,177395.295357
audio,177411.326820,177411.295357
audio,177418.295975,177418.295357
audio,177425.295837,177425.295357
movie,177432.297126,177432.295357
movie,177439.297113,177439.295357
movie,177446.297767,177446.295357
movie,177453.297232,177453.295357
movie,177460.297624,177460.295357
movie,177467.297177,177467.295357
movie,177474.297352,177474.295357
movie,177481.297976,177481.295357
movie,177488.297316,177488.295357
movie,177495.297495,177495.295357
movie,177502.297050,177502.295357
movie,177509.297711,177509.295357
fix,177516.295528,177516.295357
