color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,13_G_CG_Mother_1.ogg,13,G,CG,Mother,1,audio,1,E,5
purple,58_G_MY_Bee_2.ogg,58,G,MY,Bee,2,audio,1,E,5
red,83_G_ST_Frog_4.ogg,83,G,ST,Frog,4,audio,1,E,5
blue,36_G_DS_Princess_2_NA.ogv,36,G,DS,Princess,2,NA,1,A,5
none,121_G_TK_Frog_4_NA.ogv,121,G,TK,Frog,4,NA,1,A,5
orange,146_G_VS_Mother_3_NA.ogv,146,G,VS,Mother,3,NA,1,A,5
purple,67_G_MY_Hood_1_NF.ogv,67,G,MY,Hood,1,NF,1,B,5
none,127_G_TK_Mother_2_NF.ogv,127,G,TK,Mother,2,NF,1,B,5
grey,102_G_SV_Frog_4_NF.ogv,102,G,SV,Frog,4,NF,1,B,5
green,44_NG_JH_XX_7_NA.ogv,44,NG,JH,XX,7,NA,1,C,5
grey,99_NG_SV_XX_5_NA.ogv,99,NG,SV,XX,5,NA,1,C,5
orange,149_NG_VS_XX_18_NA.ogv,149,NG,VS,XX,18,NA,1,C,5
grey,105_NG_SV_XX_11_NF.ogv,105,NG,SV,XX,11,NF,1,D,5
none,115_NG_TK_XX_2_NF.ogv,115,NG,TK,XX,2,NF,1,D,5
blue,35_NG_DS_XX_16_NF.ogv,35,NG,DS,XX,16,NF,1,D,5
purple,60_NG_MY_XX_4_NF.ogv,60,NG,MY,XX,4,NF,1,D,5
green,40_NG_JH_XX_3_NF.ogv,40,NG,JH,XX,3,NF,1,D,5
red,85_NG_ST_XX_10_NF.ogv,85,NG,ST,XX,10,NF,1,D,5
blue,29_NG_DS_XX_10_NA.ogv,29,NG,DS,XX,10,NA,1,C,5
yellow,09_NG_CG_XX_9_NA.ogv,9,NG,CG,XX,9,NA,1,C,5
red,79_NG_ST_XX_4_NA.ogv,79,NG,ST,XX,4,NA,1,C,5
orange,132_G_VS_Bee_1_NF.ogv,132,G,VS,Bee,1,NF,1,B,5
blue,37_G_DS_Princess_3_NF.ogv,37,G,DS,Princess,3,NF,1,B,5
red,87_G_ST_Hood_4_NF.ogv,87,G,ST,Hood,4,NF,1,B,5
grey,101_G_SV_Frog_3_NA.ogv,101,G,SV,Frog,3,NA,1,A,5
yellow,11_G_CG_Hood_3_NA.ogv,11,G,CG,Hood,3,NA,1,A,5
red,76_G_ST_Bee_1_NA.ogv,76,G,ST,Bee,1,NA,1,A,5
none,123_G_TK_Hood_2.ogg,123,G,TK,Hood,2,audio,1,E,5
grey,108_G_SV_Mother_2.ogg,108,G,SV,Mother,2,audio,1,E,5
orange,148_G_VS_Princess_1.ogg,148,G,VS,Princess,1,audio,1,E,5
