color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
none,120_G_TK_Frog_3.ogg,120,G,TK,Frog,3,audio,4,E,1
orange,135_G_VS_Bee_4.ogg,135,G,VS,Bee,4,audio,4,E,1
red,90_G_ST_Mother_3.ogg,90,G,ST,Mother,3,audio,4,E,1
green,43_G_JH_Frog_2_NA.ogv,43,G,JH,Frog,2,NA,4,A,1
yellow,13_G_CG_Mother_1_NA.ogv,13,G,CG,Mother,1,NA,4,A,1
grey,98_G_SV_Bee_4_NA.ogv,98,G,SV,Bee,4,NA,4,A,1
grey,99_G_SV_Frog_1_NF.ogv,99,G,SV,Frog,1,NF,4,B,1
blue,29_G_DS_Hood_2_NF.ogv,29,G,DS,Hood,2,NF,4,B,1
orange,149_G_VS_Princess_2_NF.ogv,149,G,VS,Princess,2,NF,4,B,1
blue,31_NG_DS_XX_12_NA.ogv,31,NG,DS,XX,12,NA,4,C,1
yellow,16_NG_CG_XX_16_NA.ogv,16,NG,CG,XX,16,NA,4,C,1
purple,61_NG_MY_XX_5_NA.ogv,61,NG,MY,XX,5,NA,4,C,1
purple,57_NG_MY_XX_1_NF.ogv,57,NG,MY,XX,1,NF,4,D,1
blue,37_NG_DS_XX_18_NF.ogv,37,NG,DS,XX,18,NF,4,D,1
green,47_NG_JH_XX_10_NF.ogv,47,NG,JH,XX,10,NF,4,D,1
orange,142_NG_VS_XX_11_NF.ogv,142,NG,VS,XX,11,NF,4,D,1
none,117_NG_TK_XX_4_NF.ogv,117,NG,TK,XX,4,NF,4,D,1
grey,107_NG_SV_XX_13_NF.ogv,107,NG,SV,XX,13,NF,4,D,1
none,131_NG_TK_XX_18_NA.ogv,131,NG,TK,XX,18,NA,4,C,1
orange,146_NG_VS_XX_15_NA.ogv,146,NG,VS,XX,15,NA,4,C,1
grey,106_NG_SV_XX_12_NA.ogv,106,NG,SV,XX,12,NA,4,C,1
green,44_G_JH_Frog_3_NF.ogv,44,G,JH,Frog,3,NF,4,B,1
yellow,04_G_CG_Bee_4_NF.ogv,4,G,CG,Bee,4,NF,4,B,1
red,94_G_ST_Princess_3_NF.ogv,94,G,ST,Princess,3,NF,4,B,1
red,78_G_ST_Bee_3_NA.ogv,78,G,ST,Bee,3,NA,4,A,1
none,118_G_TK_Frog_1_NA.ogv,118,G,TK,Frog,1,NA,4,A,1
blue,28_G_DS_Hood_1_NA.ogv,28,G,DS,Hood,1,NA,4,A,1
green,55_G_JH_Princess_2.ogg,55,G,JH,Princess,2,audio,4,E,1
yellow,10_G_CG_Hood_2.ogg,10,G,CG,Hood,2,audio,4,E,1
blue,25_G_DS_Frog_2.ogg,25,G,DS,Frog,2,audio,4,E,1
