trial_type,onset
fix,319557.329309,319566.329309
audio,319573.368362,319573.329309
audio,319580.329756,319580.329309
audio,319587.329332,319587.329309
movie,319594.330937,319594.329309
movie,319601.331388,319601.329309
movie,319608.331241,319608.329309
movie,319615.331295,319615.329309
movie,319622.331659,319622.329309
movie,319629.331002,319629.329309
movie,319636.331168,319636.329309
movie,319643.331099,319643.329309
movie,319650.331194,319650.329309
movie,319657.331321,319657.329309
movie,319664.331626,319664.329309
movie,319671.331095,319671.329309
fix,319678.329895,319678.329309
movie,319694.456613,319694.329309
movie,319701.331537,319701.329309
movie,319708.331936,319708.329309
movie,319715.331842,319715.329309
movie,319722.331818,319722.329309
movie,319729.331288,319729.329309
movie,319736.331451,319736.329309
movie,319743.331490,319743.329309
movie,319750.331597,319750.329309
movie,319757.331472,319757.329309
movie,319764.331700,319764.329309
movie,319771.331306,319771.329309
audio,319778.329466,319778.329309
audio,319785.329512,319785.329309
audio,319792.329334,319792.329309
fix,319799.329687,319799.329309
