trial_type,onset
fix,340782.838570,340791.838570
movie,340798.976766,340798.838570
movie,340805.841525,340805.838570
movie,340813.031720,340812.838570
movie,340819.841330,340819.838570
movie,340826.840894,340826.838570
movie,340833.841300,340833.838570
movie,340840.840663,340840.838570
movie,340847.840644,340847.838570
movie,340854.841090,340854.838570
movie,340861.841292,340861.838570
movie,340868.841020,340868.838570
movie,340875.841125,340875.838570
audio,340882.839581,340882.838570
audio,340889.838876,340889.838570
audio,340896.839122,340896.838570
fix,340903.839191,340903.838570
audio,340919.865966,340919.838570
audio,340926.839180,340926.838570
audio,340933.838739,340933.838570
movie,340940.840822,340940.838570
movie,340947.840650,340947.838570
movie,340954.840442,340954.838570
movie,340961.840223,340961.838570
movie,340968.840277,340968.838570
movie,340975.840756,340975.838570
movie,340982.840037,340982.838570
movie,340989.840707,340989.838570
movie,340996.840335,340996.838570
movie,341003.840343,341003.838570
movie,341010.840036,341010.838570
movie,341017.840533,341017.838570
fix,341024.838673,341024.838570
