trial_type,onset
fix,348592.958291,348601.958291
movie,348609.084052,348608.958291
movie,348615.960920,348615.958291
movie,348622.960260,348622.958291
audio,348629.958852,348629.958291
audio,348636.958644,348636.958291
audio,348643.958481,348643.958291
movie,348650.960318,348650.958291
movie,348657.960227,348657.958291
movie,348664.960366,348664.958291
movie,348671.961004,348671.958291
movie,348678.960190,348678.958291
movie,348685.960857,348685.958291
movie,348692.960392,348692.958291
movie,348699.960478,348699.958291
movie,348706.960539,348706.958291
fix,348713.958574,348713.958291
movie,348730.067645,348729.958291
movie,348736.960508,348736.958291
movie,348743.960611,348743.958291
movie,348750.960642,348750.958291
movie,348757.960684,348757.958291
movie,348764.960791,348764.958291
movie,348771.960485,348771.958291
movie,348778.960354,348778.958291
movie,348785.960614,348785.958291
audio,348792.958724,348792.958291
audio,348799.958681,348799.958291
audio,348806.958528,348806.958291
movie,348813.961192,348813.958291
movie,348820.960504,348820.958291
movie,348827.960718,348827.958291
fix,348834.958358,348834.958291
