trial_type,onset
fix,354300.983351,354309.983351
movie,354317.375631,354316.983351
movie,354323.985916,354323.983351
movie,354330.986000,354330.983351
audio,354337.983801,354337.983351
audio,354344.983873,354344.983351
audio,354351.983661,354351.983351
movie,354358.986113,354358.983351
movie,354365.985720,354365.983351
movie,354372.985851,354372.983351
movie,354379.985898,354379.983351
movie,354386.985402,354386.983351
movie,354393.986431,354393.983351
movie,354400.985408,354400.983351
movie,354407.985643,354407.983351
movie,354414.985731,354414.983351
fix,354421.983795,354421.983351
movie,354438.385799,354437.983351
movie,354444.985180,354444.983351
movie,354451.985562,354451.983351
movie,354458.985859,354458.983351
movie,354465.985276,354465.983351
movie,354472.985288,354472.983351
movie,354479.985569,354479.983351
movie,354486.985653,354486.983351
movie,354493.985559,354493.983351
audio,354500.983842,354500.983351
audio,354507.983768,354507.983351
audio,354514.983846,354514.983351
movie,354521.986362,354521.983351
movie,354528.986375,354528.983351
movie,354535.985216,354535.983351
fix,354542.983902,354542.983351
